AX: -0.04, AY: 0.00, AZ: -1.01, GX: -1560.00, GY: -284.00, GZ: -38.00
AX: -0.05, AY: 0.00, AZ: -1.00, GX: -1604.00, GY: -301.00, GZ: -8.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1597.00, GY: -308.00, GZ: 1.00
AX: -0.04, AY: 0.01, AZ: -0.99, GX: -1584.00, GY: -296.00, GZ: -36.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1578.00, GY: -293.00, GZ: 15.00
AX: -0.05, AY: 0.00, AZ: -1.00, GX: -1584.00, GY: -281.00, GZ: -16.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1604.00, GY: -320.00, GZ: -23.00
AX: -0.04, AY: 0.01, AZ: -1.00, GX: -1589.00, GY: -287.00, GZ: -31.00
AX: -0.05, AY: 0.00, AZ: -1.00, GX: -1591.00, GY: -303.00, GZ: -25.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1594.00, GY: -303.00, GZ: -24.00
AX: -0.04, AY: 0.01, AZ: -1.00, GX: -1573.00, GY: -283.00, GZ: -35.00
AX: -0.04, AY: 0.01, AZ: -0.99, GX: -1573.00, GY: -277.00, GZ: -55.00
AX: -0.05, AY: -0.00, AZ: -0.99, GX: -1608.00, GY: -289.00, GZ: -2.00
AX: -0.05, AY: 0.01, AZ: -0.99, GX: -1582.00, GY: -260.00, GZ: 2.00
AX: -0.04, AY: 0.01, AZ: -0.99, GX: -1606.00, GY: -296.00, GZ: -39.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1589.00, GY: -273.00, GZ: 10.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1605.00, GY: -301.00, GZ: -4.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1600.00, GY: -280.00, GZ: 3.00
AX: -0.04, AY: 0.01, AZ: -1.00, GX: -1575.00, GY: -318.00, GZ: -24.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1602.00, GY: -283.00, GZ: -13.00
AX: -0.05, AY: 0.01, AZ: -0.99, GX: -1603.00, GY: -275.00, GZ: -18.00
AX: -0.04, AY: 0.01, AZ: -1.00, GX: -1611.00, GY: -281.00, GZ: -9.00
AX: -0.03, AY: 0.00, AZ: -0.99, GX: -1600.00, GY: -284.00, GZ: -41.00
AX: -0.06, AY: 0.00, AZ: -1.00, GX: -1592.00, GY: -285.00, GZ: 3.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1579.00, GY: -282.00, GZ: -20.00
AX: -0.03, AY: -0.00, AZ: -1.00, GX: -1568.00, GY: -298.00, GZ: -58.00
AX: -0.03, AY: 0.00, AZ: -1.00, GX: -1596.00, GY: -291.00, GZ: -22.00
AX: -0.05, AY: 0.00, AZ: -1.00, GX: -1561.00, GY: -310.00, GZ: 4.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1594.00, GY: -263.00, GZ: -2.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1590.00, GY: -258.00, GZ: -19.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1612.00, GY: -251.00, GZ: 2.00
AX: -0.04, AY: 0.00, AZ: -0.99, GX: -1609.00, GY: -278.00, GZ: -3.00
AX: -0.04, AY: -0.00, AZ: -1.00, GX: -1572.00, GY: -278.00, GZ: -30.00
AX: -0.04, AY: 0.01, AZ: -1.00, GX: -1590.00, GY: -275.00, GZ: -37.00
AX: -0.05, AY: 0.00, AZ: -0.99, GX: -1580.00, GY: -291.00, GZ: -10.00
AX: -0.04, AY: 0.00, AZ: -1.00, GX: -1582.00, GY: -283.00, GZ: 3.00
AX: -0.03, AY: 0.00, AZ: -1.00, GX: -1590.00, GY: -265.00, GZ: -30.00
AX: -0.04, AY: 0.01, AZ: -1.00, GX: -1582.00, GY: -273.00, GZ: -40.00
AX: -0.05, AY: 0.00, AZ: -0.98, GX: -1576.00, GY: -284.00, GZ: -5.00
