AX: 0.02, AY: -0.00, AZ: -0.99, GX: -1588.00, GY: -275.00, GZ: 29.00
AX: 0.01, AY: -0.01, AZ: -1.00, GX: -1565.00, GY: -259.00, GZ: -8.00
AX: 0.02, AY: 0.00, AZ: -0.99, GX: -1620.00, GY: -278.00, GZ: 28.00
AX: 0.02, AY: 0.00, AZ: -0.99, GX: -1584.00, GY: -264.00, GZ: 30.00
AX: 0.02, AY: -0.00, AZ: -0.99, GX: -1579.00, GY: -278.00, GZ: 7.00
AX: 0.02, AY: -0.00, AZ: -0.99, GX: -1584.00, GY: -258.00, GZ: 19.00
AX: 0.01, AY: -0.01, AZ: -0.99, GX: -1620.00, GY: -284.00, GZ: 6.00
AX: 0.02, AY: -0.01, AZ: -1.00, GX: -1608.00, GY: -260.00, GZ: -13.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1623.00, GY: -280.00, GZ: -10.00
AX: 0.02, AY: -0.01, AZ: -1.00, GX: -1598.00, GY: -281.00, GZ: 6.00
AX: 0.01, AY: -0.00, AZ: -0.99, GX: -1609.00, GY: -265.00, GZ: 27.00
AX: 0.01, AY: 0.00, AZ: -0.99, GX: -1609.00, GY: -257.00, GZ: -5.00
AX: 0.02, AY: -0.00, AZ: -0.99, GX: -1606.00, GY: -270.00, GZ: 20.00
AX: 0.01, AY: 0.00, AZ: -0.99, GX: -1583.00, GY: -259.00, GZ: 29.00
AX: 0.01, AY: 0.00, AZ: -0.99, GX: -1597.00, GY: -296.00, GZ: 15.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1611.00, GY: -265.00, GZ: 0.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1583.00, GY: -282.00, GZ: 19.00
AX: 0.01, AY: -0.01, AZ: -1.00, GX: -1581.00, GY: -289.00, GZ: -9.00
AX: 0.02, AY: -0.00, AZ: -0.99, GX: -1605.00, GY: -310.00, GZ: 0.00
AX: 0.01, AY: -0.00, AZ: -0.99, GX: -1627.00, GY: -282.00, GZ: -17.00
AX: 0.01, AY: -0.00, AZ: -1.00, GX: -1588.00, GY: -272.00, GZ: -4.00
AX: 0.01, AY: 0.00, AZ: -1.00, GX: -1586.00, GY: -279.00, GZ: 40.00
AX: 0.02, AY: 0.00, AZ: -0.99, GX: -1609.00, GY: -287.00, GZ: 21.00
AX: 0.02, AY: -0.00, AZ: -0.99, GX: -1591.00, GY: -259.00, GZ: 5.00
AX: 0.02, AY: -0.00, AZ: -1.00, GX: -1586.00, GY: -265.00, GZ: 38.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1578.00, GY: -264.00, GZ: 6.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1600.00, GY: -280.00, GZ: 2.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1637.00, GY: -266.00, GZ: -1.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1618.00, GY: -267.00, GZ: 15.00
AX: 0.01, AY: -0.01, AZ: -0.99, GX: -1633.00, GY: -263.00, GZ: -16.00
AX: 0.02, AY: -0.00, AZ: -0.98, GX: -1628.00, GY: -275.00, GZ: -18.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1583.00, GY: -242.00, GZ: -14.00
AX: 0.01, AY: 0.00, AZ: -1.00, GX: -1570.00, GY: -262.00, GZ: 48.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1576.00, GY: -266.00, GZ: 18.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1623.00, GY: -293.00, GZ: 7.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1590.00, GY: -263.00, GZ: -5.00
AX: 0.02, AY: -0.01, AZ: -1.00, GX: -1639.00, GY: -272.00, GZ: 15.00
AX: 0.01, AY: -0.00, AZ: -0.99, GX: -1612.00, GY: -271.00, GZ: 38.00
AX: 0.01, AY: 0.00, AZ: -0.99, GX: -1621.00, GY: -276.00, GZ: 11.00
AX: 0.01, AY: -0.00, AZ: -0.99, GX: -1621.00, GY: -270.00, GZ: -28.00
AX: 0.01, AY: -0.00, AZ: -0.99, GX: -1597.00, GY: -267.00, GZ: 24.00
AX: 0.01, AY: -0.00, AZ: -1.00, GX: -1602.00, GY: -273.00, GZ: 14.00
AX: 0.01, AY: -0.01, AZ: -0.99, GX: -1618.00, GY: -279.00, GZ: 19.00
AX: 0.02, AY: -0.00, AZ: -1.00, GX: -1588.00, GY: -280.00, GZ: 31.00
AX: 0.02, AY: -0.00, AZ: -1.00, GX: -1604.00, GY: -258.00, GZ: 9.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1614.00, GY: -308.00, GZ: -18.00
AX: 0.02, AY: -0.01, AZ: -1.00, GX: -1613.00, GY: -260.00, GZ: -24.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1608.00, GY: -266.00, GZ: 0.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1614.00, GY: -274.00, GZ: 5.00
AX: 0.01, AY: 0.00, AZ: -0.99, GX: -1584.00, GY: -269.00, GZ: 10.00
AX: 0.02, AY: -0.00, AZ: -0.99, GX: -1610.00, GY: -274.00, GZ: 5.00
AX: 0.02, AY: -0.01, AZ: -0.99, GX: -1609.00, GY: -278.00, GZ: 37.00
AX: 0.02, AY: -0.00, AZ: -0.99, GX: -1588.00, GY: -281.00, GZ: 18.00
